,Date,Reliability,Level,Air temperature,Battery Level,Distance,48h min level
0,13/04/2021 (09:07),/!\ Mid,4.85939,5,91,155.14061,4.80219
1,12/04/2021 (21:07),/!\ Low,4.8336,7,91,155.1664,3.77599
2,12/04/2021 (09:07),/!\ Low,6.45991,4,91,153.54009,2.1985799999999998
3,11/04/2021 (21:07),/!\ Low,4.80219,10,91,155.19781,2.1985799999999998
4,11/04/2021 (09:07),/!\ Low,3.77599,7,91,156.22401000000002,2.1985799999999998
5,10/04/2021 (21:07),/!\ Low,2.1985799999999998,8,91,157.80142,2.1985799999999998
6,10/04/2021 (09:07),/!\ Low,7.591639999999999,9,91,152.40836000000002,6.01622
7,09/04/2021 (21:07),/!\ Low,6.5691,11,91,153.4309,4.2613
8,09/04/2021 (09:06),/!\ Low,7.912560000000001,6,91,152.08744,0.0
9,08/04/2021 (21:06),/!\ Low,6.01622,8,91,153.98378,0.0
10,08/04/2021 (09:06),/!\ Low,4.2613,0,91,155.7387,0.0
11,07/04/2021 (21:06),/!\ Low,0.0,5,91,160.45971,0.0
12,07/04/2021 (09:06),/!\ Low,7.40565,3,91,152.59435,4.36006
13,06/04/2021 (21:05),/!\ Low,4.36006,6,91,155.63994,4.36006
14,06/04/2021 (09:05),/!\ Low,130.49401,5,91,29.50599,3.75282
15,05/04/2021 (21:05),High,6.39533,12,91,153.60467,3.75282
16,05/04/2021 (09:05),High,5.61684,6,91,154.38316,3.75282
17,04/04/2021 (21:05),High,3.75282,12,91,156.24718000000001,3.7424199999999996
18,04/04/2021 (09:05),High,6.96825,9,91,153.03175,2.9058599999999997
19,03/04/2021 (21:05),High,5.48791,14,91,154.51209,2.9058599999999997
20,03/04/2021 (09:04),High,3.7424199999999996,7,91,156.25758000000002,2.9058599999999997
21,02/04/2021 (21:04),High,2.9058599999999997,12,91,157.09413999999998,2.9058599999999997
22,02/04/2021 (09:04),High,6.25361,6,91,153.74639,4.50622
23,01/04/2021 (21:04),High,4.50622,11,91,155.49378000000002,4.50622
24,01/04/2021 (09:04),High,6.14735,5,91,153.85265,4.64149
25,31/03/2021 (21:04),High,4.87821,11,91,155.12179,4.64149
26,31/03/2021 (09:04),High,5.43251,6,91,154.56749,4.64149
27,30/03/2021 (21:04),High,4.64149,11,91,155.35851,4.64149
28,30/03/2021 (09:03),High,6.94065,6,92,153.05935,5.90965
29,29/03/2021 (21:03),High,5.90965,11,92,154.09035,5.90965
30,29/03/2021 (09:03),High,7.368410000000001,5,92,152.63159,5.15664
31,28/03/2021 (21:03),High,6.27062,10,92,153.72938,5.15664
32,28/03/2021 (09:03),High,6.29294,4,92,153.70706,5.15664
33,27/03/2021 (20:03),High,5.15664,10,92,154.84336000000002,5.15664
34,27/03/2021 (08:02),High,6.9177100000000005,9,92,153.08229,5.679869999999999
35,26/03/2021 (20:02),High,5.679869999999999,10,92,154.32013,5.679869999999999
36,26/03/2021 (08:02),High,6.848089999999999,7,92,153.15191000000002,5.83697
37,25/03/2021 (20:02),High,7.28837,9,92,152.71163,5.83697
38,25/03/2021 (08:02),High,5.83697,2,92,154.16303,5.83697
39,24/03/2021 (20:02),High,6.1766,7,92,153.8234,6.1766
40,24/03/2021 (08:01),High,8.67545,1,92,151.32455,6.3694
