,Date,Reliability,Level,Air temperature,Battery Level,Distance,48h min level
0,13/04/2021 (12:56),/!\ Mid,5.11305,14,86,177.88695,5.11305
1,13/04/2021 (00:56),/!\ Mid,6.328880000000001,7,86,176.67112,6.328880000000001
2,12/04/2021 (12:56),/!\ Mid,6.717810000000001,9,86,176.28218999999999,6.42088
3,12/04/2021 (00:56),High,19.48109,10,86,163.51891,5.4476
4,11/04/2021 (12:55),High,6.42088,11,86,176.57912,5.4476
5,11/04/2021 (00:55),High,7.01854,8,86,175.98146,5.4476
6,10/04/2021 (12:55),High,5.4476,13,86,177.5524,5.4476
7,10/04/2021 (00:55),/!\ Mid,6.501530000000001,10,86,176.49847,5.56639
8,09/04/2021 (12:55),/!\ Mid,6.27911,13,86,176.72089,5.56639
9,09/04/2021 (00:54),/!\ Mid,7.2064,9,86,175.7936,5.56639
10,08/04/2021 (12:54),High,5.56639,13,86,177.43361000000002,5.56639
11,08/04/2021 (00:54),High,7.117889999999999,7,86,175.88211,6.20106
12,07/04/2021 (12:54),High,6.8357399999999995,9,86,176.16426,6.20106
13,07/04/2021 (00:54),High,6.49675,7,87,176.50325,3.93194
14,06/04/2021 (12:54),High,6.20106,11,87,176.79894,3.93194
15,05/04/2021 (12:53),High,3.93194,16,87,179.06806,2.64423
16,05/04/2021 (00:53),High,5.34167,12,87,177.65833,2.64423
17,04/04/2021 (12:53),High,2.64423,18,87,180.35577,2.64423
18,04/04/2021 (00:53),High,4.53505,14,87,178.46495,2.95241
19,03/04/2021 (12:53),High,3.57367,16,87,179.42633,2.95241
20,03/04/2021 (00:53),High,4.73186,12,87,178.26814,2.2290200000000002
21,02/04/2021 (12:53),High,2.95241,18,87,180.04758999999999,2.2290200000000002
22,02/04/2021 (00:53),High,5.52471,11,87,177.47529,2.2290200000000002
23,01/04/2021 (12:52),High,2.2290200000000002,17,87,180.77098,2.2290200000000002
24,01/04/2021 (00:52),High,5.33871,11,87,177.66128999999998,2.53297
25,31/03/2021 (12:52),High,2.53297,16,87,180.46703,2.53297
26,31/03/2021 (00:52),High,5.05126,11,87,177.94874,2.92214
27,30/03/2021 (12:52),High,3.13484,17,87,179.86516,2.92214
28,30/03/2021 (00:51),High,5.37067,10,87,177.62933,0.0
29,29/03/2021 (12:51),High,2.92214,15,87,180.07786000000002,0.0
30,29/03/2021 (00:51),High,4.7124,10,87,178.2876,0.0
31,28/03/2021 (12:51),High,0.0,15,87,188.83141,0.0
32,27/03/2021 (23:51),High,5.4542,9,87,177.5458,5.4542
33,27/03/2021 (11:51),High,6.10393,12,87,176.89607,6.10393
34,26/03/2021 (23:51),High,7.0465100000000005,11,87,175.95349,6.41486
35,26/03/2021 (11:50),High,6.41486,13,87,176.58514,6.41486
36,25/03/2021 (23:50),High,6.88973,10,87,176.11026999999999,6.22251
37,25/03/2021 (11:50),High,6.73068,12,87,176.26932,6.22251
38,24/03/2021 (23:50),High,7.336119999999999,7,87,175.66388,6.10941
39,24/03/2021 (11:50),High,6.22251,12,87,176.77749,6.10941
40,23/03/2021 (23:50),High,7.03792,9,87,175.96208000000001,6.10941
41,23/03/2021 (11:50),High,6.10941,13,87,176.89059,6.10941
42,22/03/2021 (23:50),High,7.15308,8,87,175.84691999999998,6.42088
43,22/03/2021 (11:49),High,6.42088,11,87,176.57912,6.42088
44,21/03/2021 (23:49),High,7.035360000000001,8,87,175.96464,7.004230000000001
45,21/03/2021 (11:49),High,7.004230000000001,9,87,175.99577,7.004230000000001
46,20/03/2021 (23:49),High,7.4694899999999995,5,87,175.53051000000002,7.318560000000001
47,20/03/2021 (11:49),High,7.37488,9,87,175.62511999999998,7.318560000000001
48,19/03/2021 (23:48),High,7.318560000000001,6,87,175.68143999999998,6.573060000000001
49,19/03/2021 (11:48),High,7.80617,7,87,175.19383,6.573060000000001
