,Date,Reliability,Level,Air temperature,Battery Level,Distance,48h min level
0,12/04/2021 (23:36),High,8.1505,9,82,143.8495,5.25571
1,12/04/2021 (11:35),High,5.25571,12,82,146.74428999999998,5.25571
2,11/04/2021 (23:35),High,8.735289999999999,10,82,143.26471,7.39885
3,11/04/2021 (11:35),High,8.50549,13,82,143.49451000000002,7.39885
4,10/04/2021 (23:35),High,9.717369999999999,9,82,142.28263,7.351560000000001
5,10/04/2021 (11:35),High,7.39885,14,82,144.60115,7.351560000000001
6,09/04/2021 (11:34),High,7.351560000000001,13,82,144.64844,7.351560000000001
7,08/04/2021 (23:34),High,9.99869,12,82,142.00131000000002,8.53717
8,08/04/2021 (11:34),High,8.53717,15,82,143.46283,8.53717
9,07/04/2021 (23:34),High,9.326039999999999,10,82,142.67396000000002,9.326039999999999
10,07/04/2021 (11:34),High,10.067110000000001,11,82,141.93289,10.067110000000001
11,04/04/2021 (23:33),High,5.49486,14,82,146.50513999999998,4.23165
12,03/04/2021 (23:33),High,4.92676,15,82,147.07324,4.23165
13,03/04/2021 (11:33),/!\ Mid,4.23165,17,82,147.76835,3.6928699999999997
14,02/04/2021 (23:33),High,4.92676,15,82,147.07324,3.6928699999999997
15,01/04/2021 (23:32),/!\ Mid,3.6928699999999997,14,82,148.30713,3.6928699999999997
16,01/04/2021 (11:32),/!\ Mid,5.98264,15,82,146.01736,5.14815
17,31/03/2021 (23:32),/!\ Mid,5.39286,14,82,146.60714,5.14815
18,31/03/2021 (11:32),/!\ Mid,5.14815,15,82,146.85185,5.14815
19,30/03/2021 (23:32),High,6.2655,13,82,145.7345,5.2844
20,30/03/2021 (11:32),High,5.2844,15,82,146.7156,5.2844
21,29/03/2021 (23:31),High,7.02913,13,82,144.97087,6.08986
22,29/03/2021 (11:31),High,6.48611,13,82,145.51389,6.08986
23,28/03/2021 (23:31),High,6.932689999999999,12,82,145.06731000000002,6.08986
24,28/03/2021 (11:31),High,6.08986,14,82,145.91013999999998,6.08986
25,27/03/2021 (22:31),High,6.33338,13,82,145.66662,6.33338
26,27/03/2021 (10:30),High,7.52125,13,82,144.47875,7.52125
27,25/03/2021 (22:30),/!\ Mid,10.45604,12,82,141.54396,7.5594399999999995
28,24/03/2021 (22:30),/!\ Mid,7.5594399999999995,12,82,144.44056,6.70225
29,24/03/2021 (10:30),/!\ Mid,8.29645,10,82,143.70355,6.70225
30,23/03/2021 (22:30),/!\ Mid,6.70225,11,82,145.29775,6.70225
31,22/03/2021 (22:29),/!\ Low,7.71678,11,82,144.28322,7.71678
32,21/03/2021 (22:29),/!\ Low,9.66361,10,82,142.33639,3.63519
33,20/03/2021 (22:29),/!\ Low,3.90804,10,82,148.09196,1.90113
34,20/03/2021 (10:29),/!\ Low,3.63519,9,82,148.36481,1.2243600000000001
35,19/03/2021 (22:28),/!\ Low,1.90113,8,82,150.09887,1.2243600000000001
36,19/03/2021 (10:28),/!\ Low,3.73926,10,82,148.26074,1.2243600000000001
37,18/03/2021 (22:28),/!\ Low,1.2243600000000001,10,82,150.77563999999998,1.2243600000000001
38,18/03/2021 (10:28),/!\ Low,3.8108400000000002,11,82,148.18916000000002,3.8108400000000002
39,17/03/2021 (22:28),/!\ Low,4.30912,9,82,147.69088,3.94611
40,16/03/2021 (22:27),/!\ Low,3.94611,11,82,148.05389,3.94611
41,16/03/2021 (10:27),/!\ Low,121.51743,10,82,30.482570000000003,1.15685
42,15/03/2021 (22:27),/!\ Low,4.3806400000000005,10,82,147.61936,1.15685
43,14/03/2021 (22:27),/!\ Low,1.15685,10,82,150.84315,1.15685
44,14/03/2021 (10:27),/!\ Low,127.24543999999999,11,82,24.75456,1.03779
45,13/03/2021 (22:27),/!\ Mid,4.3181,11,82,147.6819,1.03779
46,12/03/2021 (22:26),/!\ Mid,1.03779,11,83,150.96221,0.76682
47,12/03/2021 (10:26),/!\ Mid,2.6000799999999997,13,83,149.39992,0.76682
48,11/03/2021 (10:26),/!\ Low,0.76682,12,83,151.23318,0.76682
49,10/03/2021 (22:26),/!\ Low,1.42669,11,83,150.57331000000002,1.42669
50,10/03/2021 (10:26),/!\ Low,4.00931,10,83,147.99069,2.64413
51,09/03/2021 (22:25),/!\ Low,4.43127,10,83,147.56873000000002,2.5285
52,08/03/2021 (22:25),/!\ Low,2.64413,11,83,149.35586999999998,2.5285
53,08/03/2021 (10:25),/!\ Low,2.5285,12,83,149.4715,2.5285
54,07/03/2021 (22:25),/!\ Low,2.8334,12,83,149.1666,2.8334
55,07/03/2021 (10:24),/!\ Low,3.3077,12,83,148.6923,2.9654
56,06/03/2021 (22:24),/!\ Low,3.64175,11,83,148.35825,2.9654
57,06/03/2021 (10:24),/!\ Low,3.68036,12,83,148.31964,2.9654
58,05/03/2021 (22:24),/!\ Low,2.9654,11,83,149.0346,2.9654
59,05/03/2021 (10:24),/!\ Low,3.71424,12,83,148.28576,3.71424
60,04/03/2021 (22:24),/!\ Low,127.59369,10,83,24.40631,4.00585
61,03/03/2021 (22:24),/!\ Low,4.00585,9,83,147.99415,4.00585
62,03/03/2021 (10:23),/!\ Low,127.51964,9,83,24.48036,4.71821
63,02/03/2021 (22:23),/!\ Low,5.32001,9,83,146.67999,4.71821
64,01/03/2021 (22:23),/!\ Low,4.71821,10,83,147.28179,1.95087
65,01/03/2021 (10:23),/!\ Low,127.7358,11,83,24.2642,1.51129
66,28/02/2021 (22:22),High,2.524,10,83,149.476,1.51129
67,28/02/2021 (10:22),High,1.95087,11,83,150.04913,1.51129
68,27/02/2021 (22:22),High,1.51129,10,83,150.48871,1.51129
69,27/02/2021 (10:22),High,5.62009,11,83,146.37991,3.8108400000000002
70,26/02/2021 (10:22),High,3.93846,9,83,148.06153999999998,3.8108400000000002
71,25/02/2021 (22:22),High,3.8108400000000002,11,83,148.18916000000002,3.8108400000000002
72,25/02/2021 (10:21),High,3.94611,11,83,148.05389,3.37546
73,24/02/2021 (22:21),High,3.91229,11,83,148.08771000000002,3.37546
