,Date,Reliability,Level,Air temperature,Battery Level,Distance,48h min level
0,13/04/2021 (14:14),/!\ Mid,0.0,13,92,161.09194,0.0
1,13/04/2021 (08:14),/!\ Mid,2.83546,5,92,157.16454,2.83546
2,11/04/2021 (20:14),/!\ Mid,3.5869400000000002,10,92,156.41306,0.56596
3,11/04/2021 (02:14),/!\ Mid,4.03172,8,92,155.96828,0.56596
4,10/04/2021 (20:14),/!\ Mid,2.46657,7,92,157.53343,0.56596
5,10/04/2021 (08:13),/!\ Mid,2.25077,9,92,157.74923,0.56596
6,10/04/2021 (02:13),/!\ Low,0.56596,9,92,159.43403999999998,0.56596
7,09/04/2021 (20:13),/!\ Low,1.7453299999999998,9,92,158.25467,1.7453299999999998
8,08/04/2021 (08:13),/!\ Mid,3.03914,3,92,156.96086,2.06875
9,08/04/2021 (02:13),/!\ Mid,3.98884,4,92,156.01116000000002,2.06875
10,07/04/2021 (14:12),/!\ Mid,4.07816,7,92,155.92184,2.06875
11,07/04/2021 (08:13),/!\ Mid,2.06875,4,92,157.93125,2.06875
12,07/04/2021 (02:12),/!\ Mid,3.03618,5,92,156.96382,2.95538
13,06/04/2021 (20:12),/!\ Mid,2.95538,8,92,157.04462,2.95538
14,04/04/2021 (08:11),/!\ Mid,3.17042,11,92,156.82958,1.94973
15,03/04/2021 (08:11),/!\ Mid,2.58773,9,92,157.41227,1.94973
16,03/04/2021 (02:11),/!\ Mid,1.94973,10,92,158.05026999999998,1.94973
17,02/04/2021 (20:11),/!\ Low,93.81876,11,92,66.18124,2.08137
18,02/04/2021 (08:11),High,3.17742,9,92,156.82258000000002,2.02061
19,02/04/2021 (02:11),High,3.36275,9,92,156.63725,0.97088
20,01/04/2021 (20:11),High,2.08137,13,92,157.91863,0.61632
21,01/04/2021 (08:11),High,2.65266,8,92,157.34734,0.0
22,01/04/2021 (02:11),High,2.75622,9,92,157.24378000000002,0.0
23,31/03/2021 (20:11),High,2.02061,11,92,157.97939,0.0
24,31/03/2021 (14:11),High,8.29289,14,92,151.70711,0.0
25,31/03/2021 (08:10),High,0.97088,8,92,159.02912,0.0
26,31/03/2021 (02:10),High,0.61632,10,92,159.38368,0.0
27,30/03/2021 (20:10),High,2.00808,12,92,157.99192,0.0
28,30/03/2021 (14:10),High,0.0,15,92,160.03326,0.0
29,28/03/2021 (20:10),High,3.7726,10,92,156.2274,1.7649299999999999
30,28/03/2021 (14:10),High,1.7649299999999999,14,93,158.23507,1.7649299999999999
31,27/03/2021 (19:09),/!\ Mid,4.575819999999999,9,93,155.42418,0.68389
32,27/03/2021 (13:09),/!\ Mid,2.92985,13,93,157.07015,0.68389
33,26/03/2021 (07:09),High,1.05455,9,93,158.94545,0.0
34,26/03/2021 (01:09),High,0.68389,9,93,159.31611,0.0
35,25/03/2021 (13:09),High,0.0,13,93,161.99132,0.0
36,21/03/2021 (13:08),High,0.0,13,93,161.77071999999998,0.0
37,20/03/2021 (19:07),High,0.0,9,93,165.07817,0.0
38,20/03/2021 (07:07),High,0.0,4,93,163.89186,0.0
39,20/03/2021 (01:07),High,0.0,5,93,162.13239,0.0
40,19/03/2021 (19:07),High,0.0,7,93,161.24346,0.0
41,19/03/2021 (07:07),High,0.82825,5,93,159.17175,0.0
42,18/03/2021 (19:07),High,2.06544,9,93,157.93456,0.0
43,17/03/2021 (19:06),High,0.0,10,93,161.07153,0.0
44,17/03/2021 (13:06),/!\ Mid,0.0,15,93,164.44409,0.0
45,17/03/2021 (07:06),/!\ Mid,0.0,8,93,163.77174,0.0
46,16/03/2021 (07:06),High,0.0,8,93,161.71996000000001,0.0
47,16/03/2021 (01:06),High,0.0,8,93,163.51946999999998,0.0
48,15/03/2021 (19:06),High,0.0,11,93,163.57621,0.0
49,15/03/2021 (13:06),High,0.0,15,93,163.98428,0.0
50,15/03/2021 (07:05),High,0.0,7,93,160.87413,0.0
51,14/03/2021 (19:05),High,0.0,10,93,162.9788,0.0
52,13/03/2021 (07:05),High,3.77599,7,93,156.22401000000002,0.0
53,13/03/2021 (01:05),High,4.03172,8,93,155.96828,0.0
54,12/03/2021 (19:05),High,3.21076,12,93,156.78923999999998,0.0
55,12/03/2021 (13:05),High,3.03992,14,93,156.96008,0.0
56,12/03/2021 (07:05),High,4.7106,9,93,155.2894,0.0
57,11/03/2021 (19:05),High,1.49644,11,93,158.50356000000002,0.0
58,11/03/2021 (13:05),High,0.0,13,93,162.6192,0.0
59,11/03/2021 (07:04),High,0.9557,7,93,159.0443,0.22812
60,11/03/2021 (01:04),High,0.58637,7,93,159.41363,0.22812
61,10/03/2021 (19:04),High,0.22812,10,93,159.77188,0.22812
62,10/03/2021 (01:04),High,0.77104,7,93,159.22896,0.77104
63,09/03/2021 (19:04),High,2.30417,10,93,157.69583,0.0
64,09/03/2021 (07:04),High,3.22057,6,93,156.77943,0.0
65,09/03/2021 (01:04),High,2.01359,8,93,157.98641,0.0
66,08/03/2021 (13:03),High,1.67993,14,93,158.32007,0.0
67,08/03/2021 (01:03),High,0.0,10,93,160.2276,0.0
68,07/03/2021 (19:03),High,3.3226,11,93,156.6774,2.0304
69,07/03/2021 (13:03),High,3.15045,13,93,156.84955,2.0304
70,07/03/2021 (07:03),High,2.0304,8,93,157.9696,2.0304
71,06/03/2021 (01:03),High,2.58773,9,93,157.41227,0.0
72,05/03/2021 (07:02),High,0.0,8,93,160.22318,0.0
73,04/03/2021 (19:02),High,1.42649,10,93,158.57351,0.76907
74,04/03/2021 (01:02),High,2.9030400000000003,7,93,157.09696,0.0
75,03/03/2021 (07:02),High,0.76907,8,93,159.23093,0.0
76,02/03/2021 (13:02),High,0.0,12,93,160.71913,0.0
77,01/03/2021 (19:02),High,0.0,11,93,160.04227,0.0
78,01/03/2021 (13:02),High,0.0,15,93,163.98428,0.0
79,01/03/2021 (07:01),High,0.0,7,93,163.56013000000002,0.0
80,01/03/2021 (01:01),High,0.0,8,93,160.7109,0.0
81,28/02/2021 (19:01),High,0.0262,12,93,159.9738,0.0
82,28/02/2021 (07:01),High,1.18951,8,93,158.81049,0.0
83,28/02/2021 (01:01),High,1.13906,8,93,158.86094,0.0
84,27/02/2021 (19:01),High,3.60382,10,93,156.39618000000002,0.0
85,27/02/2021 (13:01),High,0.0,14,93,160.07106000000002,0.0
86,27/02/2021 (07:00),High,1.14036,7,93,158.85963999999998,0.0
87,27/02/2021 (01:01),High,1.18951,8,93,158.81049,0.0
88,26/02/2021 (19:00),High,1.29146,10,93,158.70854,0.0
89,26/02/2021 (13:00),High,0.0,13,93,162.99253000000002,0.0
90,26/02/2021 (07:00),High,2.90219,6,93,157.09781,0.0
91,26/02/2021 (01:00),High,2.5672900000000003,7,93,157.43271000000001,0.0
92,25/02/2021 (19:00),High,0.0,10,93,160.78458999999998,0.0
93,25/02/2021 (07:00),High,0.036719999999999996,6,93,159.96328,0.0
94,25/02/2021 (01:00),High,0.14475,9,93,159.85525,0.0
95,24/02/2021 (19:00),High,0.0,10,93,160.2276,0.0
96,24/02/2021 (07:00),High,1.14036,7,93,158.85963999999998,0.0
97,24/02/2021 (01:00),High,0.61632,10,93,159.38368,0.0
98,23/02/2021 (19:00),High,4.61672,12,93,155.38328,0.0
99,23/02/2021 (13:00),High,3.35576,15,93,156.64424,0.0
100,23/02/2021 (06:59),High,3.66077,11,93,156.33923000000001,0.0
101,23/02/2021 (00:59),High,3.6776800000000005,11,93,156.32232,0.0
102,22/02/2021 (18:59),High,0.0,13,93,160.29437,0.0
103,22/02/2021 (12:59),High,0.0,14,93,161.43105,0.0
104,22/02/2021 (06:59),High,0.0,12,93,160.63443,0.0
105,22/02/2021 (00:59),High,3.26924,13,93,156.73076,0.0
106,21/02/2021 (18:59),High,3.17689,12,93,156.82311,0.0
107,21/02/2021 (12:59),High,0.0,15,93,160.69744,0.0
108,21/02/2021 (06:59),High,0.0,10,93,160.05882,0.0
109,21/02/2021 (00:59),High,0.58257,10,93,159.41743,0.58257
110,20/02/2021 (18:59),High,2.73647,12,93,157.26353,0.98716
111,20/02/2021 (00:59),High,1.2408299999999999,10,93,158.75916999999998,0.38063
112,19/02/2021 (00:58),High,0.98716,9,93,159.01283999999998,0.0
113,18/02/2021 (12:58),/!\ Mid,0.38063,9,93,159.61937,0.0
114,18/02/2021 (06:58),/!\ Mid,0.83634,8,93,159.16366000000002,0.0
115,17/02/2021 (18:58),/!\ Mid,0.0,9,93,160.327,0.0
116,17/02/2021 (06:57),/!\ Mid,0.4185,7,93,159.5815,0.4185
117,17/02/2021 (00:57),/!\ Mid,0.9540700000000001,8,93,159.04593,0.57295
