,Date,Reliability,Level,Air temperature,Battery Level,Distance,48h min level
0,13/04/2021 (12:42),High,24.49638,12,91,152.50361999999998,11.28689
1,13/04/2021 (00:42),High,34.67208,5,91,142.32792,11.28689
2,12/04/2021 (12:42),High,11.28689,10,91,165.71311,11.28689
3,12/04/2021 (00:42),High,16.66807,6,91,160.33193,15.025870000000001
4,11/04/2021 (12:41),High,26.68008,10,91,150.31992,15.025870000000001
5,11/04/2021 (00:41),High,15.025870000000001,6,91,161.97413,3.09605
6,10/04/2021 (12:41),/!\ Mid,36.351459999999996,10,91,140.64854,0.0
7,10/04/2021 (00:41),/!\ Mid,36.65546,8,91,140.34454,0.0
8,09/04/2021 (12:41),High,3.09605,13,91,173.90395,0.0
9,09/04/2021 (00:41),High,0.0,7,91,178.66883,0.0
10,08/04/2021 (12:41),/!\ Mid,0.0,14,91,181.77993,0.0
11,08/04/2021 (00:41),/!\ Mid,37.017379999999996,4,91,139.98262,11.48377
12,07/04/2021 (12:40),/!\ Mid,14.74187,8,91,162.25813,11.48377
13,07/04/2021 (00:40),/!\ Low,37.45149,4,91,139.54851000000002,0.8435799999999999
14,06/04/2021 (12:40),/!\ Low,11.48377,9,91,165.51623,0.0
15,06/04/2021 (00:40),/!\ Low,36.924479999999996,9,91,140.07551999999998,0.0
16,05/04/2021 (12:40),/!\ Low,0.8435799999999999,17,92,176.15642,0.0
17,05/04/2021 (00:40),/!\ Low,0.0,8,92,181.27907,0.0
18,04/04/2021 (12:39),/!\ Low,1.08285,17,92,175.91715,0.0
19,04/04/2021 (00:40),/!\ Low,0.0,9,92,182.22959,0.0
20,03/04/2021 (12:39),/!\ Low,0.0,16,92,185.58521000000002,0.0
21,03/04/2021 (00:39),/!\ Low,0.0,9,92,182.04426,0.0
22,02/04/2021 (12:39),/!\ Low,0.0,17,92,186.59899,0.0
23,02/04/2021 (00:39),/!\ Low,3.01986,8,92,173.98013999999998,0.0
24,01/04/2021 (12:38),/!\ Low,19.8829,17,92,157.1171,0.0
25,01/04/2021 (00:38),/!\ Low,97.56953,8,92,79.43047,0.0
26,31/03/2021 (12:38),/!\ Low,0.0,15,92,181.78089,0.0
27,31/03/2021 (00:38),/!\ Low,97.55271,8,92,79.44729,23.0806
28,30/03/2021 (12:38),/!\ Mid,23.0806,15,92,153.9194,23.0806
29,30/03/2021 (00:38),/!\ Mid,98.11577,7,92,78.88423,34.746320000000004
30,29/03/2021 (12:38),/!\ Mid,34.746320000000004,15,92,142.25368,34.746320000000004
31,29/03/2021 (00:38),/!\ Mid,37.52987,7,92,139.47013,0.0
32,28/03/2021 (12:37),/!\ Mid,35.66283,14,92,141.33717,0.0
33,27/03/2021 (23:37),/!\ Mid,37.815529999999995,6,92,139.18447,0.0
34,27/03/2021 (11:37),/!\ Mid,0.0,13,92,185.37536,0.0
35,26/03/2021 (23:37),/!\ Mid,36.80682,8,92,140.19318,32.92585
36,26/03/2021 (11:37),/!\ Mid,36.873940000000005,9,92,140.12606,32.92585
37,25/03/2021 (23:37),/!\ Mid,37.02624,7,92,139.97376,32.92585
38,25/03/2021 (11:37),/!\ Mid,32.92585,14,92,144.07415,32.92585
39,24/03/2021 (23:37),/!\ Mid,37.815529999999995,6,92,139.18447,35.15153
40,24/03/2021 (11:36),/!\ Mid,35.745470000000005,13,92,141.25453000000002,35.15153
41,23/03/2021 (23:36),/!\ Mid,36.6928,6,92,140.3072,35.15153
42,23/03/2021 (11:36),/!\ Mid,35.15153,13,92,141.84847,35.15153
43,22/03/2021 (23:36),/!\ Mid,37.48488,4,92,139.51512,32.7901
44,21/03/2021 (23:36),/!\ Mid,37.28452,4,92,139.71548,27.46704
45,21/03/2021 (11:36),High,32.7901,10,92,144.2099,27.46704
46,20/03/2021 (23:36),High,27.46704,4,92,149.53296,27.46704
47,20/03/2021 (11:35),/!\ Mid,36.08207,9,92,140.91793,25.52255
48,19/03/2021 (23:35),High,37.45516,3,92,139.54484,25.52255
49,19/03/2021 (11:35),High,36.09386,5,92,140.90614,25.52255
50,18/03/2021 (23:35),High,25.52255,5,92,151.47745,0.0
51,18/03/2021 (11:35),High,37.00863,8,92,139.99137,0.0
52,17/03/2021 (23:35),High,37.28452,4,92,139.71548,0.0
53,17/03/2021 (11:35),High,0.0,9,92,183.37526,0.0
54,16/03/2021 (23:34),High,5.33336,5,92,171.66664,5.33336
55,15/03/2021 (23:34),High,35.25752,5,92,141.74248,0.0
56,15/03/2021 (11:34),High,12.029539999999999,10,92,164.97046,0.0
57,14/03/2021 (23:34),High,14.891810000000001,6,92,162.10818999999998,0.0
58,14/03/2021 (11:33),High,0.0,10,92,179.80666000000002,0.0
59,13/03/2021 (23:33),High,36.90873,7,92,140.09127,0.0
60,13/03/2021 (11:33),High,3.81362,12,92,173.18638,0.0
61,12/03/2021 (23:33),High,28.733179999999997,6,92,148.26682,0.0
62,12/03/2021 (11:33),High,0.0,9,92,186.27315,0.0
63,11/03/2021 (23:33),High,15.60546,7,92,161.39453999999998,0.0
64,11/03/2021 (11:33),High,22.76427,10,92,154.23573000000002,0.0
