,Date,Reliability,Level,Air temperature,Battery Level,Distance,48h min level
0,11/04/2021 (22:33),High,7.928939999999999,11,91,219.07106000000002,7.928939999999999
1,11/04/2021 (10:33),/!\ Mid,8.24717,12,91,218.75283,8.24717
2,08/04/2021 (22:33),High,8.26047,9,92,218.73952999999997,6.54241
3,07/04/2021 (22:32),High,8.9646,7,92,218.0354,6.54241
4,07/04/2021 (10:32),High,6.54241,11,92,220.45758999999998,6.54241
5,05/04/2021 (10:32),High,5.3098,13,92,221.6902,4.50361
6,04/04/2021 (22:32),High,4.50361,12,92,222.49639,4.46132
7,04/04/2021 (10:31),High,5.4233,14,92,221.5767,4.46132
8,03/04/2021 (10:31),High,4.46132,13,92,222.53867999999997,4.46132
9,02/04/2021 (22:31),High,6.66736,13,92,220.33264,5.72323
10,01/04/2021 (22:30),High,5.72323,12,92,221.27677000000003,5.72323
11,01/04/2021 (10:30),High,6.17525,13,92,220.82475,5.38445
12,31/03/2021 (22:30),High,6.34998,12,92,220.65002,5.38445
13,31/03/2021 (10:30),High,5.78495,13,92,221.21505,5.38445
14,30/03/2021 (22:30),High,5.38445,12,92,221.61555,5.38445
15,30/03/2021 (10:30),High,6.15828,13,92,220.84172,6.15828
16,28/03/2021 (10:29),High,3.0761,11,92,223.9239,3.0761
17,27/03/2021 (09:29),High,4.53749,12,92,222.46251,3.2586
18,26/03/2021 (09:29),High,7.2864,11,92,219.7136,3.2586
19,25/03/2021 (21:29),High,3.2586,10,92,223.7414,3.2586
20,24/03/2021 (21:28),High,7.4180600000000005,9,92,219.58194,6.75409
21,24/03/2021 (09:28),High,6.75409,8,92,220.24591,6.75409
22,23/03/2021 (21:28),High,10.096919999999999,9,92,216.90308,10.096919999999999
23,23/03/2021 (09:28),High,12.35442,8,92,214.64558,10.95854
24,22/03/2021 (21:28),High,10.95854,8,92,216.04146,10.95854
25,21/03/2021 (21:28),High,11.56665,7,92,215.43335,11.49255
26,20/03/2021 (21:27),High,11.57072,6,92,215.42927999999998,11.49255
27,20/03/2021 (09:27),High,11.49255,5,92,215.50745,10.22366
28,19/03/2021 (21:27),High,11.799430000000001,8,92,215.20057000000003,10.22366
29,18/03/2021 (21:26),High,10.22366,7,92,216.77634,10.22366
30,18/03/2021 (09:26),High,10.59881,6,92,216.40118999999999,10.59881
31,17/03/2021 (21:26),High,13.01031,8,92,213.98969,9.10858
32,16/03/2021 (09:26),High,9.10858,8,92,217.89142,9.10858
33,15/03/2021 (21:26),High,13.095889999999999,9,92,213.90411,10.93932
34,14/03/2021 (09:25),High,10.93932,9,92,216.06068,7.0225100000000005
35,13/03/2021 (21:25),High,7.0225100000000005,10,92,219.97749,5.51422
36,13/03/2021 (09:25),High,9.422989999999999,9,92,217.57701,4.30507
37,12/03/2021 (21:25),High,10.31382,10,92,216.68617999999998,1.23785
