,Date,Reliability,Level,Air temperature,Battery Level,Distance,48h min level
0,13/04/2021 (11:14),High,5.36487,11,91,188.63513,4.05396
1,12/04/2021 (23:14),High,6.024780000000001,5,91,187.97522,4.05396
2,12/04/2021 (11:14),High,4.05396,9,91,189.94603999999998,4.05396
3,11/04/2021 (23:14),High,5.18278,9,91,188.81722,4.4882
4,11/04/2021 (11:14),High,4.4882,10,91,189.5118,4.4882
5,10/04/2021 (23:14),High,5.67138,9,91,188.32862,5.02831
6,10/04/2021 (11:13),High,5.4156,11,92,188.5844,4.57041
7,09/04/2021 (23:13),High,5.02831,10,92,188.97169,4.57041
8,09/04/2021 (11:13),High,5.838480000000001,10,92,188.16152,4.57041
9,08/04/2021 (23:13),High,4.57041,7,92,189.42959,4.57041
10,08/04/2021 (11:13),High,5.0436,11,92,188.9564,4.581119999999999
11,07/04/2021 (23:12),High,6.95023,4,92,187.04977,4.407769999999999
12,07/04/2021 (11:12),High,4.581119999999999,8,92,189.41888,4.407769999999999
13,06/04/2021 (23:12),High,5.51434,4,92,188.48566,3.02312
14,06/04/2021 (11:12),High,4.407769999999999,9,92,189.59223,0.8333
15,05/04/2021 (23:12),High,5.90595,11,92,188.09405,0.8333
16,05/04/2021 (11:12),High,3.02312,14,92,190.97688,0.8333
17,04/04/2021 (23:12),High,0.8333,11,92,193.1667,0.0
18,04/04/2021 (11:11),High,3.9935,15,92,190.0065,0.0
19,03/04/2021 (23:11),High,4.55194,13,92,189.44806,0.0
20,03/04/2021 (11:11),High,0.0,14,92,194.01986000000002,0.0
21,02/04/2021 (23:11),High,2.81163,11,92,191.18837,0.0
22,02/04/2021 (11:11),High,0.0,15,92,194.792,0.0
23,01/04/2021 (23:11),High,3.55988,10,92,190.44012,0.0
24,01/04/2021 (11:11),High,4.04312,14,92,189.95688,0.0
25,31/03/2021 (23:11),High,5.16334,10,92,188.83666000000002,0.0
26,31/03/2021 (11:10),High,0.0,15,92,194.92824,0.0
27,30/03/2021 (23:10),High,4.89329,10,92,189.10671000000002,0.94914
28,30/03/2021 (11:10),High,0.94914,14,92,193.05086,0.94914
29,29/03/2021 (23:10),High,4.85953,10,92,189.14047,1.14106
30,29/03/2021 (11:10),High,4.04312,14,92,189.95688,1.14106
31,28/03/2021 (23:10),High,4.55572,10,92,189.44428,0.0
32,28/03/2021 (11:10),High,1.14106,13,92,192.85894,0.0
33,27/03/2021 (22:10),High,2.50393,9,92,191.49607,0.0
34,27/03/2021 (10:09),High,0.0,12,92,194.07241000000002,0.0
35,26/03/2021 (22:09),High,6.581180000000001,9,92,187.41881999999998,1.31504
36,26/03/2021 (10:09),High,3.0197700000000003,10,92,190.98023,1.31504
37,25/03/2021 (22:09),High,4.244759999999999,8,92,189.75524,1.18002
38,25/03/2021 (10:09),High,1.31504,10,92,192.68496000000002,1.18002
39,24/03/2021 (22:08),High,1.85085,7,92,192.14915,1.18002
40,24/03/2021 (10:08),High,1.18002,10,92,192.81998000000002,1.18002
41,23/03/2021 (22:08),High,3.08636,6,92,190.91364,1.65261
42,23/03/2021 (10:08),High,1.65261,10,92,192.34739,1.65261
43,22/03/2021 (22:08),High,4.99667,6,92,189.00333,3.38003
44,22/03/2021 (10:08),High,3.38003,9,92,190.61997,3.38003
45,21/03/2021 (22:08),High,3.6638900000000003,7,92,190.33611000000002,3.6638900000000003
46,21/03/2021 (10:07),High,4.73829,7,92,189.26171000000002,4.27369
47,20/03/2021 (22:07),High,4.27369,3,92,189.72631,4.22872
48,20/03/2021 (10:07),High,4.4269300000000005,6,92,189.57307,3.8837599999999997
49,19/03/2021 (22:07),High,4.56265,4,92,189.43735,3.8837599999999997
50,19/03/2021 (10:07),High,4.22872,4,92,189.77128000000002,3.8837599999999997
