,Date,Reliability,Level,Air temperature,Battery Level,Distance,48h min level
0,13/04/2021 (09:49),High,1.67458,12,91,167.32542,0.0
1,12/04/2021 (21:49),High,0.65384,10,92,168.34616,0.0
2,12/04/2021 (09:48),High,0.15005,12,92,168.84995,0.0
3,11/04/2021 (21:48),High,0.0,15,92,169.85971,0.0
4,11/04/2021 (09:48),High,1.90798,14,92,167.09202,0.46865
5,10/04/2021 (21:48),High,2.4269,13,92,166.5731,0.0
6,10/04/2021 (09:48),High,0.46865,15,92,168.53135,0.0
7,09/04/2021 (21:48),High,0.8507299999999999,16,92,168.14927,0.0
8,09/04/2021 (09:48),High,0.0,15,92,169.68941,0.0
9,08/04/2021 (21:48),High,0.0,15,92,169.34881000000001,0.0
10,08/04/2021 (09:47),High,0.0,13,92,171.79972,0.0
11,07/04/2021 (21:47),High,0.0,15,92,172.65267,0.0
12,07/04/2021 (09:47),High,2.18276,12,92,166.81724,0.0
13,06/04/2021 (21:47),High,0.0,13,92,169.9161,0.0
14,06/04/2021 (09:47),High,0.7751899999999999,15,92,168.22481000000002,0.0
15,05/04/2021 (21:47),High,0.0,18,92,169.46663,0.0
16,05/04/2021 (09:47),High,0.39009,16,92,168.60991,0.0
17,04/04/2021 (21:47),High,0.0,17,92,170.27713,0.0
18,04/04/2021 (09:46),High,0.0,17,92,172.32805,0.0
19,03/04/2021 (21:46),High,0.5021899999999999,19,92,168.49781000000002,0.0
20,03/04/2021 (09:46),High,0.0,17,92,169.30295,0.0
21,02/04/2021 (21:46),High,0.47503999999999996,18,92,168.52496000000002,0.0
22,02/04/2021 (09:45),High,0.0,15,92,170.01299,0.0
23,01/04/2021 (21:45),High,0.39778,17,92,168.60222,0.0
24,01/04/2021 (09:45),High,0.0,15,92,170.26844,0.0
25,31/03/2021 (21:45),High,0.0,17,92,172.00332,0.0
26,31/03/2021 (09:45),High,0.47998999999999997,14,92,168.52001,0.47998999999999997
27,30/03/2021 (21:45),High,0.8166100000000001,16,92,168.18339,0.72251
28,30/03/2021 (09:45),High,2.29898,14,92,166.70102,0.0
29,29/03/2021 (21:45),High,0.72251,17,92,168.27749,0.0
30,29/03/2021 (09:44),High,0.9899899999999999,14,92,168.01001000000002,0.0
31,28/03/2021 (21:44),High,0.0,15,92,171.80116,0.0
32,28/03/2021 (09:44),High,0.0,12,92,169.62915,0.0
33,27/03/2021 (20:44),High,1.83998,14,92,167.16002,0.90499
34,27/03/2021 (08:44),High,0.90499,14,92,168.09501,0.24725
35,26/03/2021 (20:44),High,1.4990299999999999,16,92,167.50097,0.24725
36,26/03/2021 (08:44),High,0.9899899999999999,14,92,168.01001000000002,0.24725
37,25/03/2021 (20:44),High,0.24725,15,92,168.75275,0.24725
38,25/03/2021 (08:43),High,0.6412899999999999,12,92,168.35871,0.36804000000000003
39,24/03/2021 (20:43),High,0.81999,14,92,168.18001,0.0
40,24/03/2021 (08:43),High,0.36804000000000003,11,92,168.63196000000002,0.0
41,23/03/2021 (20:43),High,1.27899,14,92,167.72101,0.0
42,23/03/2021 (08:43),High,0.0,11,92,169.81558,0.0
43,22/03/2021 (20:43),High,1.37479,13,92,167.62521,0.28251
44,22/03/2021 (08:43),High,0.28251,10,92,168.71749,0.28251
45,21/03/2021 (20:43),High,0.5566,12,92,168.4434,0.5566
46,21/03/2021 (08:42),High,1.98429,9,92,167.01571,1.04439
47,20/03/2021 (20:42),High,1.80529,11,92,167.19471000000001,0.0
48,20/03/2021 (08:42),High,1.47884,9,92,167.52116,0.0
49,19/03/2021 (20:42),High,1.04439,11,92,167.95561,0.0
50,19/03/2021 (08:41),High,0.0,11,92,169.18995,0.0
51,18/03/2021 (20:41),High,0.65823,12,92,168.34177,0.21781
52,18/03/2021 (08:41),High,0.95765,10,92,168.04235,0.0
53,17/03/2021 (20:41),High,0.21781,12,92,168.78218999999999,0.0
54,17/03/2021 (08:41),High,0.50193,10,92,168.49806999999998,0.0
55,16/03/2021 (20:41),High,0.0,12,92,169.62915,0.0
56,16/03/2021 (08:41),High,1.51464,10,92,167.48536000000001,0.27176
57,15/03/2021 (20:41),High,0.27176,13,92,168.72824,0.27176
58,15/03/2021 (08:40),High,1.95059,9,92,167.04941000000002,1.37479
59,14/03/2021 (20:40),High,2.22801,11,92,166.77199,0.0
60,14/03/2021 (08:40),High,1.67458,12,92,167.32542,0.0
61,13/03/2021 (20:40),High,1.37479,13,92,167.62521,0.0
62,13/03/2021 (08:40),High,0.0,10,92,169.05506,0.0
63,12/03/2021 (20:40),High,0.0,12,92,170.71326000000002,0.0
64,12/03/2021 (08:40),High,0.18392999999999998,12,92,168.81607,0.18392999999999998
65,11/03/2021 (20:40),High,1.6189799999999999,14,92,167.38102,1.6189799999999999
66,11/03/2021 (08:39),High,2.32947,11,92,166.67053,1.95175
67,10/03/2021 (20:39),High,1.95175,13,93,167.04825,0.36804000000000003
68,10/03/2021 (08:39),High,2.1053900000000003,10,93,166.89461,0.36804000000000003
69,09/03/2021 (20:39),High,2.04724,12,93,166.95276,0.36804000000000003
70,09/03/2021 (08:39),High,0.36804000000000003,11,93,168.63196000000002,0.36804000000000003
71,08/03/2021 (20:39),High,1.14299,14,93,167.85701,0.0
72,08/03/2021 (08:39),High,1.16275,11,93,167.83725,0.0
73,07/03/2021 (20:39),High,0.81999,14,93,168.18001,0.0
