,Date,Reliability,Level,Air temperature,Battery Level,Distance,48h min level
0,13/04/2021 (14:54),High,42.55795,19,82,37.44205,24.84596
1,13/04/2021 (02:54),High,38.01533,11,82,41.98467,24.84596
2,12/04/2021 (14:54),High,30.26835,16,82,49.73165,24.84596
3,12/04/2021 (02:54),High,24.84596,12,82,55.15404,24.84596
4,10/04/2021 (02:54),High,34.5335,16,82,45.4665,27.504309999999997
5,09/04/2021 (02:53),High,27.504309999999997,14,82,52.49569,27.504309999999997
6,08/04/2021 (02:53),High,27.69175,12,82,52.30825,27.57538
7,07/04/2021 (02:53),High,27.57538,10,82,52.424620000000004,27.27654
8,06/04/2021 (14:53),High,27.589309999999998,14,82,52.41069,27.27654
9,06/04/2021 (02:53),High,27.633329999999997,17,82,52.36667,27.27654
10,05/04/2021 (14:52),High,27.27654,24,82,52.723459999999996,27.27654
11,05/04/2021 (02:52),High,28.077690000000004,17,82,51.922309999999996,27.4094
12,04/04/2021 (02:52),/!\ Mid,27.8314,18,82,52.1686,27.4094
13,03/04/2021 (14:52),/!\ Mid,27.4094,25,82,52.5906,27.4094
14,03/04/2021 (02:51),/!\ Mid,27.770059999999997,17,82,52.22994,27.456229999999998
15,02/04/2021 (14:51),/!\ Mid,27.456229999999998,26,82,52.543769999999995,27.456229999999998
16,02/04/2021 (02:51),/!\ Mid,27.862809999999996,16,82,52.137190000000004,27.69182
17,01/04/2021 (14:51),/!\ Mid,27.86008,25,82,52.139920000000004,27.69182
18,01/04/2021 (02:51),/!\ Mid,28.40875,16,82,51.59125,27.69182
19,31/03/2021 (14:51),/!\ Mid,27.69182,24,82,52.30818,27.69182
20,31/03/2021 (02:51),/!\ Mid,28.108829999999998,15,82,51.89117,27.438109999999998
21,30/03/2021 (14:50),/!\ Mid,27.858079999999998,22,82,52.14192,27.438109999999998
22,30/03/2021 (02:50),/!\ Low,28.23814,16,82,51.76186,27.34575
23,29/03/2021 (14:50),/!\ Low,27.438109999999998,23,82,52.561890000000005,27.34575
24,29/03/2021 (02:50),/!\ Low,28.09931,14,82,51.900690000000004,27.34575
25,28/03/2021 (14:50),/!\ Low,27.34575,24,82,52.65425,27.34575
26,28/03/2021 (01:50),/!\ Low,28.141059999999996,13,82,51.858940000000004,28.141059999999996
27,27/03/2021 (13:50),/!\ Low,28.81995,23,82,51.18005,28.81995
28,27/03/2021 (01:50),/!\ Low,33.4928,16,82,46.5072,32.21312
29,26/03/2021 (13:49),/!\ Low,33.09024,19,82,46.90976,32.21312
30,26/03/2021 (01:49),/!\ Low,32.21312,15,82,47.78688,32.21312
31,25/03/2021 (13:49),/!\ Mid,32.5897,17,82,47.4103,32.5897
32,25/03/2021 (01:49),/!\ Mid,33.62222,13,82,46.37778,33.62222
33,24/03/2021 (01:49),/!\ Mid,34.894940000000005,13,82,45.105059999999995,34.894940000000005
34,23/03/2021 (13:49),/!\ Mid,35.05189,20,82,44.94811,35.05189
35,23/03/2021 (01:49),/!\ Mid,35.46209,11,82,44.53791,35.46209
36,22/03/2021 (01:48),/!\ Mid,36.16135,12,82,43.83865,36.16135
37,21/03/2021 (13:48),/!\ Mid,36.41045,22,82,43.58955,36.41045
38,21/03/2021 (01:48),/!\ Mid,36.537859999999995,10,82,43.462140000000005,36.537859999999995
39,20/03/2021 (13:47),/!\ Mid,36.54826,14,82,43.45174,36.54826
40,20/03/2021 (01:47),/!\ Mid,36.950070000000004,11,82,43.049929999999996,36.950070000000004
41,19/03/2021 (13:47),High,37.15297,11,82,42.84703,37.15297
42,19/03/2021 (01:47),/!\ Mid,37.21158,12,82,42.78842,37.21158
43,18/03/2021 (13:47),/!\ Mid,37.799040000000005,15,82,42.200959999999995,37.799040000000005
44,18/03/2021 (01:47),/!\ Mid,39.53712,11,82,40.46288,39.53712
45,17/03/2021 (13:47),/!\ Mid,39.75752,15,82,40.24248,39.75752
46,17/03/2021 (01:47),/!\ Mid,40.019740000000006,13,82,39.980259999999994,40.019740000000006
47,16/03/2021 (13:46),/!\ Mid,40.72824,15,82,39.27176,40.72824
48,16/03/2021 (01:46),/!\ Mid,42.090070000000004,12,82,37.909929999999996,42.090070000000004
49,15/03/2021 (13:46),/!\ Mid,42.50246,17,82,37.49754,
