,Date,Reliability,Level,Air temperature,Battery Level,Distance,48h min level
0,13/04/2021 (12:17),High,55.99632,9,91,22.00368,55.99632
1,13/04/2021 (00:17),High,57.396640000000005,4,91,20.603360000000002,56.30346
2,12/04/2021 (12:16),High,56.91496,7,91,21.08504,56.30346
3,12/04/2021 (00:16),High,56.612790000000004,7,91,21.38721,56.30346
4,11/04/2021 (12:16),High,56.30346,15,91,21.69654,56.30346
5,11/04/2021 (00:16),High,56.65145,6,91,21.34855,56.342130000000004
6,10/04/2021 (12:16),High,56.380790000000005,13,91,21.61921,56.342130000000004
7,10/04/2021 (00:16),High,56.57411999999999,8,91,21.42588,56.342130000000004
8,09/04/2021 (12:16),High,56.342130000000004,14,91,21.657870000000003,56.342130000000004
9,09/04/2021 (00:16),High,56.65145,6,91,21.34855,56.36147
10,08/04/2021 (12:15),High,57.07866,8,91,20.92134,56.36147
11,08/04/2021 (00:15),High,56.4508,3,91,21.5492,56.36147
12,07/04/2021 (12:15),High,56.36147,4,91,21.63853,56.36147
13,07/04/2021 (00:15),High,56.60079,3,91,21.39921,56.60079
14,06/04/2021 (12:15),High,56.69011999999999,5,91,21.30988,56.6103
15,06/04/2021 (00:14),High,56.6487,10,91,21.3513,56.52913
16,05/04/2021 (12:14),High,56.6103,11,91,21.3897,56.52913
17,05/04/2021 (00:14),High,56.7423,8,91,21.2577,56.41946
18,04/04/2021 (12:14),High,56.52913,14,91,21.47087,56.41946
19,04/04/2021 (00:14),High,56.63182,10,91,21.36818,56.380790000000005
20,03/04/2021 (12:14),High,56.41946,12,91,21.58054,56.380790000000005
21,03/04/2021 (00:14),High,56.687090000000005,9,91,21.312910000000002,56.380790000000005
22,02/04/2021 (12:13),High,56.380790000000005,13,91,21.61921,56.380790000000005
23,02/04/2021 (00:13),High,56.74709,7,91,21.25291,56.55497
24,01/04/2021 (12:13),High,56.5934,11,91,21.4066,56.55497
25,01/04/2021 (00:13),High,56.725480000000005,8,91,21.274520000000003,56.55497
26,31/03/2021 (12:13),High,56.55497,12,91,21.44503,56.55497
27,31/03/2021 (00:13),High,56.69185,8,91,21.30815,56.458130000000004
28,30/03/2021 (12:13),High,56.5934,11,91,21.4066,56.458130000000004
29,30/03/2021 (00:13),High,56.7423,8,91,21.2577,56.458130000000004
30,29/03/2021 (12:12),High,56.458130000000004,11,91,21.54187,56.458130000000004
31,29/03/2021 (00:12),High,56.78066,7,91,21.21934,56.55497
32,28/03/2021 (12:12),High,56.55497,12,91,21.44503,56.55497
33,27/03/2021 (23:12),High,56.74709,7,91,21.25291,56.380790000000005
34,27/03/2021 (11:11),High,56.6487,10,91,21.3513,56.380790000000005
35,26/03/2021 (23:11),High,56.70394,9,91,21.29606,56.380790000000005
36,26/03/2021 (11:11),High,56.380790000000005,13,91,21.61921,56.380790000000005
37,25/03/2021 (23:11),High,56.83578000000001,6,91,21.16422,56.57649
38,25/03/2021 (11:11),High,56.57649,11,91,21.42351,56.57649
39,24/03/2021 (23:11),High,56.76875,6,91,21.23125,56.612790000000004
40,24/03/2021 (11:11),High,56.612790000000004,7,91,21.38721,56.612790000000004
41,23/03/2021 (23:11),High,56.65145,6,91,21.34855,56.612790000000004
42,23/03/2021 (11:10),High,56.612790000000004,7,91,21.38721,56.612790000000004
43,22/03/2021 (23:10),High,56.69011999999999,5,91,21.30988,56.612790000000004
44,22/03/2021 (11:10),High,56.612790000000004,7,91,21.38721,56.55079
45,21/03/2021 (23:10),High,56.69011999999999,5,91,21.30988,56.55079
46,21/03/2021 (11:10),High,56.69011999999999,5,92,21.30988,56.55079
47,20/03/2021 (23:10),High,56.55079,3,92,21.44921,56.55079
48,20/03/2021 (11:10),High,56.728790000000004,4,92,21.27121,56.65145
49,19/03/2021 (23:10),High,56.80611999999999,2,92,21.19388,56.57411999999999
50,19/03/2021 (11:09),High,56.65145,6,92,21.34855,56.57411999999999
51,18/03/2021 (23:09),High,57.22968,4,92,20.77032,56.57411999999999
52,18/03/2021 (11:09),High,56.57411999999999,8,92,21.42588,56.57411999999999
53,17/03/2021 (23:09),High,56.69011999999999,5,92,21.30988,56.57411999999999
54,17/03/2021 (11:08),High,56.57411999999999,8,92,21.42588,56.57411999999999
55,16/03/2021 (23:08),High,56.612790000000004,7,92,21.38721,56.57411999999999
