,Date,Reliability,Level,Air temperature,Battery Level,Distance,48h min level
0,13/04/2021 (09:46),/!\ Low,0.0,11,99,53.22906,0.0
1,12/04/2021 (21:46),/!\ Low,0.0,11,99,53.41506,0.0
2,12/04/2021 (09:46),/!\ Low,0.0,8,99,52.690169999999995,0.0
3,11/04/2021 (21:46),/!\ Mid,0.0,12,99,49.5641,0.0
4,11/04/2021 (09:45),/!\ Low,0.0,13,99,50.705020000000005,0.0
5,10/04/2021 (21:45),/!\ Low,0.0,12,99,51.88477,0.0
6,10/04/2021 (09:45),/!\ Low,0.0,13,99,49.17776,0.0
7,09/04/2021 (21:45),/!\ Low,0.0,13,99,49.33048,0.0
8,09/04/2021 (09:44),/!\ Low,0.0,15,99,49.26851,0.0
9,09/04/2021 (09:43),/!\ Low,0.0,14,99,49.18071,0.0
10,09/04/2021 (09:42),/!\ Low,0.0,15,99,49.30257,0.0
11,09/04/2021 (09:41),/!\ Low,0.05729,14,99,48.94271,0.0
12,09/04/2021 (09:40),/!\ Low,0.0,15,99,49.03009,0.0
13,09/04/2021 (09:39),/!\ Low,0.0,15,99,49.098209999999995,0.0
14,09/04/2021 (09:38),/!\ Low,0.0,15,99,49.098209999999995,0.0
15,09/04/2021 (09:37),/!\ Low,0.0,15,99,49.098209999999995,0.0
16,09/04/2021 (09:36),/!\ Low,0.0,16,99,49.20277,0.0
17,09/04/2021 (09:35),/!\ Low,0.0,16,99,49.18571,0.0
18,09/04/2021 (09:34),/!\ Low,0.0,15,99,49.098209999999995,0.0
19,09/04/2021 (09:33),/!\ Low,0.0,15,99,49.098209999999995,0.0
20,09/04/2021 (09:32),/!\ Low,1.7144599999999999,15,99,49.285540000000005,1.7144599999999999
21,09/04/2021 (09:31),/!\ Low,1.90179,15,99,49.098209999999995,1.90179
22,13/02/2021 (23:58),High,0.0,8,94,51.8661,
23,13/02/2021 (11:58),High,0.0,9,94,56.154880000000006,
24,12/02/2021 (23:58),High,0.0,10,94,51.88451,
25,12/02/2021 (11:57),High,0.0,11,94,56.7461,
26,11/02/2021 (23:57),High,0.0,9,94,54.97551,
27,11/02/2021 (11:57),High,0.0,9,94,52.8021,
28,10/02/2021 (23:57),High,0.0,10,94,54.41628000000001,
29,10/02/2021 (11:57),High,0.0,10,95,55.26021,
30,09/02/2021 (23:57),High,0.0,11,95,52.48506999999999,
31,09/02/2021 (11:57),High,0.0,9,95,52.78525,
32,08/02/2021 (23:57),High,0.0,9,95,52.16187,
33,08/02/2021 (11:56),High,0.0,11,95,52.51889,
34,07/02/2021 (23:56),High,0.0,8,95,53.24515,
35,07/02/2021 (11:56),High,0.0,10,95,52.47526,
36,06/02/2021 (23:56),High,5.38927,14,95,45.61073,
37,05/02/2021 (23:56),High,0.0,12,95,52.95194,
38,05/02/2021 (11:56),High,0.0,12,95,52.22355,
39,04/02/2021 (23:56),High,0.0,11,95,52.46816,
40,04/02/2021 (11:55),High,0.0,13,95,52.87712,
41,03/02/2021 (23:55),High,0.0,11,95,52.82325,
42,03/02/2021 (11:55),High,0.0,13,95,52.1644,
43,02/02/2021 (23:55),High,0.0,11,95,54.04068,
44,02/02/2021 (11:55),High,0.0,12,95,52.78255,
45,01/02/2021 (23:54),High,0.0,11,95,55.35957,
46,01/02/2021 (11:54),High,0.0,12,95,54.120740000000005,
47,31/01/2021 (23:54),High,0.0,10,95,53.572359999999996,
48,31/01/2021 (11:54),High,0.0,9,95,53.96462,
49,30/01/2021 (23:54),High,0.0,8,95,53.88423,
50,30/01/2021 (11:54),High,0.0,11,95,52.85706999999999,
51,29/01/2021 (23:54),High,0.0,11,95,51.84253,
52,29/01/2021 (11:53),High,0.0,12,95,53.629509999999996,
53,28/01/2021 (23:53),,0.0,11,95,53.05996999999999,
54,28/01/2021 (11:53),,0.0,12,95,53.76501999999999,
55,27/01/2021 (23:53),,0.0,10,95,53.72427,
56,27/01/2021 (11:53),,0.0,8,95,53.44696999999999,
57,26/01/2021 (23:53),,0.0,8,95,53.69924,
58,26/01/2021 (11:53),,0.0,7,95,53.30015,
59,25/01/2021 (23:53),,0.0,6,95,53.840559999999996,
60,25/01/2021 (11:52),,0.0,10,95,53.7749,
61,24/01/2021 (23:52),,0.0,10,95,52.424620000000004,
62,24/01/2021 (11:52),,0.0,8,95,53.46379,
63,23/01/2021 (23:52),,0.0,9,95,53.47603,
64,23/01/2021 (11:52),,0.0,9,95,53.47603,
65,22/01/2021 (23:52),,0.0,7,95,52.981190000000005,
66,22/01/2021 (11:52),,9.017330000000001,13,95,41.98267,
67,21/01/2021 (23:52),,10.99366,11,95,40.00634,
68,21/01/2021 (11:51),,5.87397,12,95,45.12603,
69,20/01/2021 (23:51),,3.8582099999999997,12,95,47.14179,
70,20/01/2021 (11:51),,2.45225,12,95,48.54775,
71,19/01/2021 (23:51),,1.0734,10,95,49.9266,
72,19/01/2021 (11:51),,1.7456200000000002,7,95,49.25438,
73,18/01/2021 (23:51),,2.51428,8,95,48.48572,
74,18/01/2021 (11:51),,1.8295599999999999,7,95,49.17044,
75,17/01/2021 (23:51),,1.2587899999999999,7,95,49.741209999999995,
76,17/01/2021 (11:50),,0.0,8,95,51.933370000000004,
77,16/01/2021 (23:50),,0.57789,6,95,50.422109999999996,
78,16/01/2021 (11:50),,1.0973600000000001,6,95,49.902640000000005,
79,15/01/2021 (23:50),,2.6095099999999998,5,95,48.39049,
80,15/01/2021 (11:49),,1.49536,10,95,49.50464,
81,14/01/2021 (23:49),,2.12747,8,95,48.87253,
82,14/01/2021 (11:49),,1.10715,10,95,49.89285,
83,13/01/2021 (23:49),,3.18495,9,95,47.81505,
84,13/01/2021 (11:49),,4.48285,10,95,46.51715,
85,12/01/2021 (23:49),,4.0455,7,95,46.9545,
86,12/01/2021 (11:49),,3.3595599999999997,6,95,47.640440000000005,
87,11/01/2021 (23:49),,3.3047199999999997,8,95,47.69528,
88,11/01/2021 (11:48),,3.44335,6,95,47.55665,
89,10/01/2021 (23:48),,4.17924,8,95,46.82076,
90,10/01/2021 (11:48),,3.7302,5,95,47.2698,
91,09/01/2021 (23:48),,3.7601199999999997,7,95,47.23988,
92,09/01/2021 (11:48),,1.15204,8,95,49.84796,
93,08/01/2021 (23:48),,0.0,6,95,51.71241,
94,08/01/2021 (11:48),,1.08477,8,96,49.91523,
95,07/01/2021 (23:48),,3.43767,9,96,47.562329999999996,
96,07/01/2021 (11:47),,3.44115,7,96,47.55885,
97,06/01/2021 (23:47),,3.44335,6,96,47.55665,
