,Date,Reliability,Level,Air temperature,Battery Level,Distance,48h min level
0,12/04/2021 (21:35),/!\ Mid,4.78865,11,99,160.21135,4.68741
1,11/04/2021 (21:35),/!\ Mid,4.92894,14,99,160.07106000000002,1.9199599999999999
2,11/04/2021 (09:35),/!\ Low,4.68741,12,99,160.31259,1.39296
3,10/04/2021 (21:35),/!\ Low,6.40961,10,99,158.59038999999999,0.0
4,10/04/2021 (09:35),/!\ Low,1.9199599999999999,14,99,163.08004,0.0
5,09/04/2021 (21:35),/!\ Low,1.39296,14,99,163.60703999999998,0.0
6,09/04/2021 (09:33),/!\ Low,1.06996,14,99,163.93004,0.0
7,09/04/2021 (09:32),/!\ Low,1.3249600000000001,14,99,163.67504,0.0
8,09/04/2021 (09:31),/!\ Low,1.37596,14,99,163.62403999999998,0.0
9,09/04/2021 (09:30),/!\ Low,1.03275,15,99,163.96725,0.0
10,09/04/2021 (09:29),/!\ Low,0.43668999999999997,15,99,164.56331,0.0
11,09/04/2021 (09:28),/!\ Low,0.9476,15,99,164.0524,0.0
12,09/04/2021 (09:27),/!\ Low,0.55591,15,99,164.44409,0.0
13,09/04/2021 (09:26),/!\ Low,0.55591,15,99,164.44409,0.0
14,09/04/2021 (09:25),/!\ Low,0.26285,16,99,164.73715,0.0
15,09/04/2021 (09:24),/!\ Low,0.0,17,99,165.14985,0.0
16,09/04/2021 (09:23),/!\ Low,0.0,17,99,165.03021,0.0
17,09/04/2021 (09:22),/!\ Low,0.0,17,99,165.03021,0.0
18,09/04/2021 (09:21),/!\ Low,0.0,17,99,165.16693999999998,0.0
19,09/04/2021 (09:20),/!\ Low,0.0,17,99,165.03021,0.0
20,13/02/2021 (08:51),High,0.0,8,93,159.50002,
21,12/02/2021 (20:51),High,0.0,10,93,159.06298,
22,12/02/2021 (08:51),High,0.0,8,93,159.88682,
23,11/02/2021 (20:51),High,0.0,10,94,159.72125,
24,11/02/2021 (08:51),High,0.0,9,94,161.97811000000002,
25,10/02/2021 (08:50),High,0.0,10,94,159.1305,
26,09/02/2021 (20:50),High,0.0,12,94,159.63502,
27,09/02/2021 (08:50),High,0.0,9,94,160.10797,
28,08/02/2021 (08:50),High,0.0,9,94,159.61937,
29,07/02/2021 (20:50),High,0.0,9,94,159.61937,
30,07/02/2021 (08:50),High,0.0,11,94,159.721,
31,06/02/2021 (20:50),High,0.0,16,94,163.57703,
32,06/02/2021 (08:49),High,0.0,16,94,159.75546,
33,04/02/2021 (20:49),High,0.0,13,94,160.15861,
34,04/02/2021 (08:49),High,0.0,10,94,159.97442,
35,03/02/2021 (20:49),High,0.0,11,94,160.19444,
36,02/02/2021 (20:49),High,0.9506,11,94,157.0494,
37,02/02/2021 (08:48),High,0.0,10,94,158.75916999999998,
38,01/02/2021 (20:48),High,0.0,12,94,158.48316,
39,01/02/2021 (08:48),High,0.0,11,94,159.04464,
40,31/01/2021 (20:48),High,0.0,11,94,158.65573999999998,
41,31/01/2021 (08:47),High,0.0,8,94,158.18823,
42,30/01/2021 (20:47),High,0.0,9,94,158.9286,
43,30/01/2021 (08:47),High,0.0,9,94,159.66992,
44,29/01/2021 (08:47),,0.17279,11,94,157.82721,
45,28/01/2021 (20:47),,0.0,12,94,158.26295,
46,28/01/2021 (08:47),,0.0,8,94,160.37454,
47,27/01/2021 (20:47),,0.79365,10,94,157.20635,
48,27/01/2021 (08:46),,0.39942,7,94,157.60058,
49,26/01/2021 (20:46),,0.7872100000000001,8,94,157.21278999999998,
50,26/01/2021 (08:46),,0.68435,6,94,157.31565,
