,threshold,accuracy
44,0.5266624598090084,0.9
43,0.5171164678383152,0.89375
42,0.5110985351974229,0.8875
41,0.5100148315745433,0.88125
40,0.5098468592811685,0.875
39,0.5097230196932065,0.86875
45,0.5302885182871199,0.86875
46,0.5339245225035455,0.8625
38,0.5091294873111973,0.8625
47,0.54160671286901,0.85625
37,0.5080602877787807,0.85625
36,0.5042879170405261,0.85
35,0.5031177763117054,0.84375
34,0.5013797636097361,0.8375
49,0.5439825023092462,0.83125
33,0.5010446039932609,0.83125
48,0.542836109279722,0.825
32,0.50065109428216,0.825
31,0.4997413320956694,0.81875
29,0.4993509606169792,0.81875
28,0.4975997731224664,0.8125
51,0.5492444450261027,0.8125
30,0.4996247828002766,0.8125
52,0.5509195924076311,0.80625
50,0.5456145457121423,0.80625
27,0.4974413547295675,0.80625
67,1.7868300969859838,0.8
26,0.4974176122214479,0.8
53,0.553377069791482,0.8
61,1.45377312880814,0.8
55,0.9762711514362261,0.8
70,1.9572461617925336,0.79375
54,0.835325409847585,0.79375
56,1.0743615865504355,0.79375
58,1.1414277538924602,0.79375
60,1.3700537510795523,0.79375
68,1.8249449661023387,0.79375
66,1.7862494389879162,0.79375
64,1.6275452563214274,0.79375
62,1.4737581588439674,0.79375
25,0.4971706822672364,0.79375
24,0.497110897727838,0.7875
65,1.7025715344873391,0.7875
59,1.1934947727538783,0.7875
57,1.120823745738001,0.7875
63,1.481302826863671,0.7875
69,1.9158740378168266,0.7875
22,0.4961102661440095,0.7875
71,2.0908789313551623,0.7875
74,2.5889900950524276,0.78125
21,0.4957990328876082,0.78125
72,2.2439150043447045,0.78125
23,0.49626524253051757,0.78125
73,2.4412014641389437,0.775
20,0.49563826639008784,0.775
75,2.6056418019393295,0.775
76,2.607291010815579,0.76875
19,0.4945945847490333,0.76875
77,2.610979331685354,0.7625
18,0.4940965219409449,0.7625
16,0.49363177018234694,0.7625
17,0.49405563214222814,0.75625
78,2.6117849951049603,0.75625
15,0.4928860637474688,0.75625
79,2.6137437479248478,0.75
14,0.49138030800354365,0.75
13,0.49126913315010934,0.74375
12,0.4910483932942311,0.7375
11,0.49054182747040864,0.73125
80,2.643145314134849,0.73125
81,2.647721904307207,0.725
10,0.49031318396009593,0.725
8,0.48916828105561483,0.725
82,2.6482803511865143,0.71875
7,0.4878367493542651,0.71875
9,0.4900398078062047,0.71875
6,0.48717757171422404,0.7125
5,0.48672402472282833,0.70625
4,0.4856679361662258,0.7
3,0.4843949407376401,0.69375
83,2.6652492169442876,0.69375
2,0.48376451998580655,0.6875
84,2.6705470894994736,0.6875
1,0.4831032709505693,0.68125
85,2.672920468611054,0.68125
86,2.675273125871389,0.675
0,0.48285501683685206,0.675
87,2.6799033342816565,0.66875
88,2.6845584853796334,0.6625
89,2.782840197055371,0.65625
90,2.7836426901444593,0.63125
